evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.84,251,2109,0,20856,0,0.893644,0.106356,0.909157,1,0.106356,0.192264,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.85,214,2146,0,20856,0,0.909322,0.090678,0.907564,1,0.090678,0.166278,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.86,169,2191,0,20856,0,0.92839,0.0716102,0.905625,1,0.0716102,0.13365,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.87,142,2218,0,20856,0,0.939831,0.0601695,0.904462,1,0.0601695,0.113509,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.88,102,2258,0,20856,0,0.95678,0.0432203,0.902739,1,0.0432203,0.0828595,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.89,85,2275,0,20856,0,0.963983,0.0360169,0.902007,1,0.0360169,0.0695297,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,development,2360,20856,0.9,54,2306,0,20856,0,0.977119,0.0228814,0.900672,1,0.0228814,0.044739,0.0869242,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.6,1455,708,51,19608,0.00259423,0.327323,0.672677,0.965219,0.966135,0.672677,0.793132,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.61,1420,743,46,19613,0.0023399,0.343504,0.656496,0.963844,0.968622,0.656496,0.782585,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.62,1373,790,37,19622,0.00188209,0.365233,0.634767,0.962102,0.973759,0.634767,0.768542,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.63,1337,826,27,19632,0.00137342,0.381877,0.618123,0.960911,0.980205,0.618123,0.758151,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.64,1293,870,24,19635,0.00122081,0.402219,0.597781,0.959032,0.981777,0.597781,0.743103,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.65,1245,918,21,19638,0.00106821,0.424411,0.575589,0.95697,0.983412,0.575589,0.726159,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.66,1202,961,18,19641,0.000915611,0.44429,0.55571,0.955137,0.985246,0.55571,0.710612,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.67,1148,1015,13,19646,0.000661275,0.469256,0.530744,0.952892,0.988803,0.530744,0.690734,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.68,1092,1071,12,19647,0.000610407,0.495146,0.504854,0.950371,0.98913,0.504854,0.668503,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.69,1036,1127,9,19650,0.000457806,0.521036,0.478964,0.947942,0.991388,0.478964,0.645885,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.7,986,1177,7,19652,0.000356071,0.544152,0.455848,0.945743,0.992951,0.455848,0.624842,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.71,945,1218,7,19652,0.000356071,0.563107,0.436893,0.943864,0.992647,0.436893,0.606742,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.72,901,1262,7,19652,0.000356071,0.583449,0.416551,0.941848,0.992291,0.416551,0.58678,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.73,836,1327,4,19655,0.000203469,0.6135,0.3865,0.939007,0.995238,0.3865,0.556777,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.74,787,1376,4,19655,0.000203469,0.636153,0.363847,0.936761,0.994943,0.363847,0.532837,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.75,732,1431,3,19656,0.000152602,0.661581,0.338419,0.934286,0.995918,0.338419,0.505176,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.76,682,1481,2,19657,0.000101735,0.684697,0.315303,0.932041,0.997076,0.315303,0.479101,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.77,625,1538,2,19657,0.000101735,0.711049,0.288951,0.929429,0.99681,0.288951,0.448029,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.78,561,1602,1,19658,5.08673e-05,0.740638,0.259362,0.926542,0.998221,0.259362,0.411743,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.79,466,1697,0,19659,0,0.784558,0.215442,0.922234,1,0.215442,0.354507,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.8,430,1733,0,19659,0,0.801202,0.198798,0.920585,1,0.198798,0.331662,0.085387,0.327646
REAL DATA,face,protected_template,estimated_cosine,>=,test,2163,19659,0.81,378,1785,0,19659,0,0.825243,0.174757,0.918202,1,0.174757,0.297521,0.085387,0.327646
