evidence_label,system,score,threshold,FAR,FRR,TAR,system_EER,system_EER_threshold
REAL DATA,E_bbox_v2,raw_cosine,0.86,0,0.944506,0.0554941,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.88,0,0.970816,0.0291842,0.0699202,0.291488
REAL DATA,E_bbox_v2,raw_cosine,0.9,0,0.987619,0.0123812,0.0699202,0.291488
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.6,0.00233622,0.286093,0.713907,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.62,0.00154512,0.326111,0.673889,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.64,0.000939431,0.367897,0.632103,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.66,0.000580964,0.405704,0.594296,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.68,0.000407911,0.458766,0.541234,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.7,0.000284302,0.508733,0.491267,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.72,0.000210136,0.554941,0.445059,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.74,0.000123609,0.60734,0.39266,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.76,7.41656e-05,0.656202,0.343798,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.78,6.18047e-05,0.701968,0.298032,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.8,1.23609e-05,0.768295,0.231705,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.82,0,0.807871,0.192129,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.84,0,0.864913,0.135087,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.86,0,0.9109,0.0891002,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.88,0,0.943179,0.0568207,0.0718083,0.341217
REAL DATA,F_aligned_v2,protected_estimated_cosine,0.9,0,0.965289,0.0347115,0.0718083,0.341217
REAL DATA,F_aligned_v2,raw_cosine,0.6,0.000741656,0.279461,0.720539,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.62,0.000482077,0.315277,0.684723,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.64,0.000247219,0.358612,0.641388,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.66,0.000210136,0.397524,0.602476,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.68,0.000148331,0.451249,0.548751,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.7,7.41656e-05,0.501658,0.498342,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.72,4.94438e-05,0.554278,0.445722,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.74,3.70828e-05,0.612425,0.387575,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.76,1.23609e-05,0.673668,0.326332,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.78,1.23609e-05,0.738006,0.261994,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.8,1.23609e-05,0.792173,0.207827,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.82,0,0.841477,0.158523,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.84,0,0.887685,0.112315,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.86,0,0.927482,0.0725182,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.88,0,0.957771,0.0422286,0.057703,0.307312
REAL DATA,F_aligned_v2,raw_cosine,0.9,0,0.978112,0.0218881,0.057703,0.307312
