evidence_label,modality,representation,score,rule,threshold,FAR,FRR,TAR,accuracy,precision,F1
REAL DATA,face,protected_template,estimated_cosine,>=,0.94,0,0.995578,0.00442184,0.947286,1,0.00880475
REAL DATA,face,protected_template,estimated_cosine,>=,0.95,0,0.997347,0.00265311,0.947192,1,0.00529217
REAL DATA,face,raw_embedding,raw_cosine,>=,0.2,0.181656,0.0481981,0.951802,0.82541,0.226567,0.366009
REAL DATA,face,raw_embedding,raw_cosine,>=,0.21,0.166712,0.0495247,0.950475,0.839493,0.241707,0.385405
REAL DATA,face,raw_embedding,raw_cosine,>=,0.22,0.153399,0.050409,0.949591,0.852054,0.257109,0.404654
REAL DATA,face,raw_embedding,raw_cosine,>=,0.23,0.140532,0.0539465,0.946054,0.864053,0.273453,0.424272
REAL DATA,face,raw_embedding,raw_cosine,>=,0.24,0.12864,0.055273,0.944727,0.875244,0.291076,0.445035
REAL DATA,face,raw_embedding,raw_cosine,>=,0.25,0.117318,0.0572629,0.942737,0.885862,0.309996,0.466572
REAL DATA,face,raw_embedding,raw_cosine,>=,0.26,0.10623,0.0592527,0.940747,0.896257,0.331154,0.489869
REAL DATA,face,raw_embedding,raw_cosine,>=,0.27,0.0965142,0.0638956,0.936104,0.905213,0.351603,0.511198
REAL DATA,face,raw_embedding,raw_cosine,>=,0.28,0.0874042,0.0667698,0.93323,0.913688,0.373804,0.533797
REAL DATA,face,raw_embedding,raw_cosine,>=,0.29,0.0794314,0.0687597,0.93124,0.921134,0.395939,0.555636
REAL DATA,face,raw_embedding,raw_cosine,>=,0.3,0.0716934,0.0707495,0.92925,0.928357,0.420174,0.578686
REAL DATA,face,raw_embedding,raw_cosine,>=,0.31,0.0644994,0.0731815,0.926818,0.935041,0.445484,0.601737
REAL DATA,face,raw_embedding,raw_cosine,>=,0.32,0.05822,0.0762768,0.923723,0.940824,0.470072,0.623071
REAL DATA,face,raw_embedding,raw_cosine,>=,0.33,0.0520272,0.0795932,0.920407,0.946513,0.497253,0.645677
REAL DATA,face,raw_embedding,raw_cosine,>=,0.34,0.0466131,0.0824674,0.917533,0.951488,0.523924,0.666988
REAL DATA,face,raw_embedding,raw_cosine,>=,0.35,0.0415451,0.0873314,0.912669,0.956031,0.551208,0.687313
REAL DATA,face,raw_embedding,raw_cosine,>=,0.36,0.0367614,0.0893212,0.910679,0.960456,0.580713,0.709194
REAL DATA,face,raw_embedding,raw_cosine,>=,0.37,0.0324351,0.0919744,0.908026,0.964412,0.610162,0.729874
REAL DATA,face,raw_embedding,raw_cosine,>=,0.38,0.0287886,0.0963962,0.903604,0.967632,0.637001,0.747235
REAL DATA,face,raw_embedding,raw_cosine,>=,0.39,0.0254759,0.100376,0.899624,0.970558,0.663785,0.763916
REAL DATA,face,raw_embedding,raw_cosine,>=,0.4,0.0227936,0.106345,0.893655,0.972783,0.686714,0.776636
REAL DATA,face,raw_embedding,raw_cosine,>=,0.41,0.0200494,0.111873,0.888127,0.975089,0.71236,0.790592
REAL DATA,face,raw_embedding,raw_cosine,>=,0.42,0.0178121,0.117621,0.882379,0.976903,0.73472,0.801808
REAL DATA,face,raw_embedding,raw_cosine,>=,0.43,0.0155624,0.124033,0.875967,0.978694,0.758858,0.813218
REAL DATA,face,raw_embedding,raw_cosine,>=,0.44,0.0136218,0.133761,0.866239,0.980017,0.780478,0.821125
REAL DATA,face,raw_embedding,raw_cosine,>=,0.45,0.0120272,0.14371,0.85629,0.981,0.799216,0.826769
REAL DATA,face,raw_embedding,raw_cosine,>=,0.46,0.0104821,0.149901,0.850099,0.982136,0.819305,0.834418
REAL DATA,face,raw_embedding,raw_cosine,>=,0.47,0.00889988,0.158523,0.841477,0.983178,0.840919,0.841198
REAL DATA,face,raw_embedding,raw_cosine,>=,0.48,0.00775031,0.167809,0.832191,0.983775,0.857208,0.844514
REAL DATA,face,raw_embedding,raw_cosine,>=,0.49,0.00645241,0.178864,0.821136,0.984419,0.876771,0.848042
REAL DATA,face,raw_embedding,raw_cosine,>=,0.5,0.00563659,0.188592,0.811408,0.984676,0.889481,0.848653
REAL DATA,face,raw_embedding,raw_cosine,>=,0.51,0.00485785,0.199204,0.800796,0.984852,0.902117,0.848442
REAL DATA,face,raw_embedding,raw_cosine,>=,0.52,0.00422744,0.21048,0.78952,0.984852,0.912599,0.84661
REAL DATA,face,raw_embedding,raw_cosine,>=,0.53,0.003733,0.222419,0.777581,0.984688,0.920922,0.843203
REAL DATA,face,raw_embedding,raw_cosine,>=,0.54,0.00317676,0.233694,0.766306,0.984618,0.93097,0.84065
REAL DATA,face,raw_embedding,raw_cosine,>=,0.55,0.00276885,0.249834,0.750166,0.984149,0.93807,0.833661
REAL DATA,face,raw_embedding,raw_cosine,>=,0.56,0.00232386,0.265532,0.734468,0.98374,0.946439,0.827088
REAL DATA,face,raw_embedding,raw_cosine,>=,0.57,0.00200247,0.279682,0.720318,0.983295,0.952632,0.820345
REAL DATA,face,raw_embedding,raw_cosine,>=,0.58,0.00156984,0.295158,0.704842,0.982885,0.961689,0.813473
REAL DATA,face,raw_embedding,raw_cosine,>=,0.59,0.0012979,0.313288,0.686712,0.982183,0.9673,0.803207
REAL DATA,face,raw_embedding,raw_cosine,>=,0.6,0.00105068,0.32788,0.67212,0.981644,0.9728,0.794979
REAL DATA,face,raw_embedding,raw_cosine,>=,0.61,0.000815822,0.344904,0.655096,0.980965,0.978211,0.784693
REAL DATA,face,raw_embedding,raw_cosine,>=,0.62,0.000642769,0.369003,0.630997,0.979853,0.982106,0.76834
REAL DATA,face,raw_embedding,raw_cosine,>=,0.63,0.000568603,0.392439,0.607561,0.978683,0.983536,0.751128
REAL DATA,face,raw_embedding,raw_cosine,>=,0.64,0.000482077,0.410347,0.589653,0.977816,0.985588,0.737861
REAL DATA,face,raw_embedding,raw_cosine,>=,0.65,0.000370828,0.434667,0.565333,0.976634,0.988404,0.719269
REAL DATA,face,raw_embedding,raw_cosine,>=,0.66,0.00025958,0.45545,0.54455,0.975639,0.991546,0.703011
REAL DATA,face,raw_embedding,raw_cosine,>=,0.67,0.000197775,0.475127,0.524873,0.974656,0.993305,0.686822
REAL DATA,face,raw_embedding,raw_cosine,>=,0.68,0.000148331,0.501879,0.498121,0.973286,0.994702,0.663819
REAL DATA,face,raw_embedding,raw_cosine,>=,0.69,9.88875e-05,0.526642,0.473358,0.972022,0.996277,0.641787
REAL DATA,face,raw_embedding,raw_cosine,>=,0.7,9.88875e-05,0.552288,0.447712,0.970664,0.996065,0.617755
REAL DATA,face,raw_embedding,raw_cosine,>=,0.71,7.41656e-05,0.58103,0.41897,0.969165,0.996844,0.589975
REAL DATA,face,raw_embedding,raw_cosine,>=,0.72,4.94438e-05,0.609772,0.390228,0.967667,0.997739,0.56103
REAL DATA,face,raw_embedding,raw_cosine,>=,0.73,3.70828e-05,0.635419,0.364581,0.966321,0.998184,0.534089
REAL DATA,face,raw_embedding,raw_cosine,>=,0.74,1.23609e-05,0.66394,0.33606,0.964834,0.999343,0.502978
REAL DATA,face,raw_embedding,raw_cosine,>=,0.75,1.23609e-05,0.694893,0.305107,0.963195,0.999276,0.46748
REAL DATA,face,raw_embedding,raw_cosine,>=,0.76,1.23609e-05,0.72275,0.27725,0.96172,0.999203,0.43406
REAL DATA,face,raw_embedding,raw_cosine,>=,0.77,1.23609e-05,0.750387,0.249613,0.960257,0.999115,0.399434
REAL DATA,face,raw_embedding,raw_cosine,>=,0.78,0,0.777139,0.222861,0.958852,1,0.364491
REAL DATA,face,raw_embedding,raw_cosine,>=,0.79,0,0.805881,0.194119,0.95733,1,0.325125
REAL DATA,face,raw_embedding,raw_cosine,>=,0.8,0,0.831086,0.168914,0.955995,1,0.289011
REAL DATA,face,raw_embedding,raw_cosine,>=,0.81,0,0.855406,0.144594,0.954708,1,0.252656
REAL DATA,face,raw_embedding,raw_cosine,>=,0.82,0,0.876631,0.123369,0.953584,1,0.219642
REAL DATA,face,raw_embedding,raw_cosine,>=,0.83,0,0.898076,0.101924,0.952448,1,0.184992
REAL DATA,face,raw_embedding,raw_cosine,>=,0.84,0,0.916206,0.0837939,0.951488,1,0.154631
REAL DATA,face,raw_embedding,raw_cosine,>=,0.85,0,0.929914,0.0700862,0.950763,1,0.130992
REAL DATA,face,raw_embedding,raw_cosine,>=,0.86,0,0.947159,0.052841,0.94985,1,0.100378
REAL DATA,face,raw_embedding,raw_cosine,>=,0.87,0,0.960867,0.0391333,0.949124,1,0.0753191
REAL DATA,face,raw_embedding,raw_cosine,>=,0.88,0,0.971258,0.028742,0.948574,1,0.0558779
REAL DATA,face,raw_embedding,raw_cosine,>=,0.89,0,0.978554,0.0214459,0.948187,1,0.0419913
REAL DATA,face,raw_embedding,raw_cosine,>=,0.9,0,0.984302,0.0156975,0.947883,1,0.0309099
REAL DATA,face,raw_embedding,raw_cosine,>=,0.91,0,0.988945,0.0110546,0.947637,1,0.0218675
REAL DATA,face,raw_embedding,raw_cosine,>=,0.92,0,0.994252,0.0057484,0.947356,1,0.0114311
REAL DATA,face,raw_embedding,raw_cosine,>=,0.93,0,0.997126,0.0028742,0.947204,1,0.00573192
REAL DATA,face,raw_embedding,raw_cosine,>=,0.94,0,0.997568,0.00243201,0.947181,1,0.00485223
REAL DATA,face,raw_embedding,raw_cosine,>=,0.95,0,0.999558,0.000442184,0.947075,1,0.000883978
REAL DATA,voice,protected_template,estimated_distance,<=,0.5,0,0.784044,0.215956,0.968333,1,0.355204
REAL DATA,voice,protected_template,estimated_distance,<=,0.52,0,0.718019,0.281981,0.971,1,0.439914
REAL DATA,voice,protected_template,estimated_distance,<=,0.54,0,0.687758,0.312242,0.972222,1,0.475891
REAL DATA,voice,protected_template,estimated_distance,<=,0.56,0,0.636864,0.363136,0.974278,1,0.532795
REAL DATA,voice,protected_template,estimated_distance,<=,0.58,0,0.602476,0.397524,0.975667,1,0.568898
REAL DATA,voice,protected_template,estimated_distance,<=,0.6,0,0.525447,0.474553,0.978778,1,0.643657
REAL DATA,voice,protected_template,estimated_distance,<=,0.62,5.78938e-05,0.488308,0.511692,0.980222,0.997319,0.676364
REAL DATA,voice,protected_template,estimated_distance,<=,0.64,0.000173681,0.422283,0.577717,0.982778,0.992908,0.730435
REAL DATA,voice,protected_template,estimated_distance,<=,0.66,0.000289469,0.401651,0.598349,0.9835,0.988636,0.745501
REAL DATA,voice,protected_template,estimated_distance,<=,0.68,0.000463151,0.353508,0.646492,0.985278,0.983264,0.780083
REAL DATA,voice,protected_template,estimated_distance,<=,0.7,0.000636832,0.328748,0.671252,0.986111,0.977956,0.796085
REAL DATA,voice,protected_template,estimated_distance,<=,0.72,0.00127366,0.281981,0.718019,0.987389,0.959559,0.8214
REAL DATA,voice,protected_template,estimated_distance,<=,0.74,0.0018526,0.251719,0.748281,0.988056,0.944444,0.834996
REAL DATA,voice,protected_template,estimated_distance,<=,0.76,0.00318416,0.22696,0.77304,0.987778,0.910859,0.83631
REAL DATA,voice,protected_template,estimated_distance,<=,0.78,0.00411046,0.189821,0.810179,0.988389,0.892424,0.849315
REAL DATA,voice,protected_template,estimated_distance,<=,0.8,0.00463151,0.170564,0.829436,0.988667,0.88287,0.855319
REAL DATA,voice,protected_template,estimated_distance,<=,0.82,0.00538413,0.137552,0.862448,0.989278,0.870833,0.866621
REAL DATA,voice,protected_template,estimated_distance,<=,0.84,0.00613675,0.125172,0.874828,0.989056,0.857143,0.865895
REAL DATA,voice,protected_template,estimated_distance,<=,0.86,0.00717883,0.100413,0.899587,0.989056,0.840617,0.869103
REAL DATA,voice,protected_template,estimated_distance,<=,0.88,0.00822092,0.0962861,0.903714,0.988222,0.822278,0.861075
REAL DATA,voice,protected_template,estimated_distance,<=,0.9,0.00955248,0.0825309,0.917469,0.9875,0.801683,0.855677
REAL DATA,voice,protected_template,estimated_distance,<=,0.92,0.011463,0.0632737,0.936726,0.986444,0.774744,0.84807
REAL DATA,voice,protected_template,estimated_distance,<=,0.94,0.0124472,0.0550206,0.944979,0.985833,0.761641,0.843462
REAL DATA,voice,protected_template,estimated_distance,<=,0.96,0.0153419,0.0440165,0.955983,0.9835,0.723958,0.823948
REAL DATA,voice,protected_template,estimated_distance,<=,0.98,0.0170208,0.0371389,0.962861,0.982167,0.704225,0.813481
REAL DATA,voice,protected_template,estimated_distance,<=,1,0.0202049,0.0302613,0.969739,0.979389,0.66888,0.79169
REAL DATA,voice,protected_template,estimated_distance,<=,1.02,0.0252417,0.0220083,0.977992,0.974889,0.619878,0.758805
REAL DATA,voice,protected_template,estimated_distance,<=,1.04,0.0281943,0.0192572,0.980743,0.972167,0.594167,0.74001
REAL DATA,voice,protected_template,estimated_distance,<=,1.06,0.0357784,0.0151307,0.984869,0.965056,0.536732,0.694808
REAL DATA,voice,protected_template,estimated_distance,<=,1.08,0.044173,0.0110041,0.988996,0.957167,0.485155,0.650973
REAL DATA,voice,protected_template,estimated_distance,<=,1.1,0.0493255,0.00962861,0.990371,0.952278,0.458015,0.626359
REAL DATA,voice,protected_template,estimated_distance,<=,1.12,0.0625253,0.00412655,0.995873,0.939833,0.40133,0.572106
REAL DATA,voice,protected_template,estimated_distance,<=,1.14,0.078504,0.00412655,0.995873,0.9245,0.348077,0.515853
REAL DATA,voice,protected_template,estimated_distance,<=,1.16,0.0885775,0.00412655,0.995873,0.914833,0.321207,0.485743
REAL DATA,voice,protected_template,estimated_distance,<=,1.18,0.110114,0.00275103,0.997249,0.894222,0.27598,0.43232
REAL DATA,voice,protected_template,estimated_distance,<=,1.2,0.139698,0.00275103,0.997249,0.865833,0.231039,0.375162
REAL DATA,voice,raw_embedding,raw_distance,<=,0.5,0,0.78542,0.21458,0.968278,1,0.353341
REAL DATA,voice,raw_embedding,raw_distance,<=,0.52,0,0.748281,0.251719,0.969778,1,0.402198
REAL DATA,voice,raw_embedding,raw_distance,<=,0.54,0,0.709766,0.290234,0.971333,1,0.449893
REAL DATA,voice,raw_embedding,raw_distance,<=,0.56,0,0.649243,0.350757,0.973778,1,0.519348
REAL DATA,voice,raw_embedding,raw_distance,<=,0.58,0,0.592847,0.407153,0.976056,1,0.57869
REAL DATA,voice,raw_embedding,raw_distance,<=,0.6,0,0.547455,0.452545,0.977889,1,0.623106
REAL DATA,voice,raw_embedding,raw_distance,<=,0.62,0,0.504814,0.495186,0.979611,1,0.662374
REAL DATA,voice,raw_embedding,raw_distance,<=,0.64,0,0.441541,0.558459,0.982167,1,0.716681
REAL DATA,voice,raw_embedding,raw_distance,<=,0.66,0,0.407153,0.592847,0.983556,1,0.744387
REAL DATA,voice,raw_embedding,raw_distance,<=,0.68,0,0.361761,0.638239,0.985389,1,0.779177
REAL DATA,voice,raw_embedding,raw_distance,<=,0.7,0,0.327373,0.672627,0.986778,1,0.804276
REAL DATA,voice,raw_embedding,raw_distance,<=,0.72,0,0.287483,0.712517,0.988389,1,0.832129
REAL DATA,voice,raw_embedding,raw_distance,<=,0.74,0.000289469,0.258597,0.741403,0.989278,0.990809,0.848151
REAL DATA,voice,raw_embedding,raw_distance,<=,0.76,0.000521044,0.231087,0.768913,0.990167,0.984155,0.86332
REAL DATA,voice,raw_embedding,raw_distance,<=,0.78,0.000694726,0.211829,0.788171,0.990778,0.979487,0.873476
REAL DATA,voice,raw_embedding,raw_distance,<=,0.8,0.00115788,0.181568,0.818432,0.991556,0.96748,0.886736
REAL DATA,voice,raw_embedding,raw_distance,<=,0.82,0.00167892,0.154058,0.845942,0.992167,0.954969,0.897155
REAL DATA,voice,raw_embedding,raw_distance,<=,0.84,0.00248943,0.129298,0.870702,0.992389,0.936391,0.902352
REAL DATA,voice,raw_embedding,raw_distance,<=,0.86,0.00364731,0.10729,0.89271,0.992167,0.911517,0.902015
REAL DATA,voice,raw_embedding,raw_distance,<=,0.88,0.00463151,0.0921596,0.90784,0.991833,0.891892,0.899796
REAL DATA,voice,raw_embedding,raw_distance,<=,0.9,0.00613675,0.0825309,0.917469,0.990778,0.862872,0.889333
REAL DATA,voice,raw_embedding,raw_distance,<=,0.92,0.00775777,0.0729023,0.927098,0.989611,0.834158,0.878176
REAL DATA,voice,raw_embedding,raw_distance,<=,0.94,0.00879986,0.0632737,0.936726,0.989,0.817527,0.873077
REAL DATA,voice,raw_embedding,raw_distance,<=,0.96,0.0103051,0.0495186,0.950481,0.988111,0.795167,0.865915
REAL DATA,voice,raw_embedding,raw_distance,<=,0.98,0.0129103,0.03989,0.96011,0.986,0.757872,0.847087
REAL DATA,voice,raw_embedding,raw_distance,<=,1,0.0156313,0.0371389,0.962861,0.9835,0.721649,0.824985
REAL DATA,voice,raw_embedding,raw_distance,<=,1.02,0.0193365,0.0302613,0.969739,0.980222,0.678537,0.798414
REAL DATA,voice,raw_embedding,raw_distance,<=,1.04,0.0235628,0.0220083,0.977992,0.9765,0.635957,0.770732
REAL DATA,voice,raw_embedding,raw_distance,<=,1.06,0.0285995,0.0165062,0.983494,0.971889,0.591398,0.738636
REAL DATA,voice,raw_embedding,raw_distance,<=,1.08,0.0346784,0.0110041,0.988996,0.966278,0.545524,0.703178
REAL DATA,voice,raw_embedding,raw_distance,<=,1.1,0.0428414,0.00687758,0.993122,0.958611,0.493844,0.659662
REAL DATA,voice,raw_embedding,raw_distance,<=,1.12,0.0519887,0.00275103,0.997249,0.95,0.446704,0.617021
REAL DATA,voice,raw_embedding,raw_distance,<=,1.14,0.0639727,0.00137552,0.998624,0.938556,0.396505,0.567631
REAL DATA,voice,raw_embedding,raw_distance,<=,1.16,0.0779251,0.00137552,0.998624,0.925167,0.350386,0.518757
